grid_id,lat,lon,year,n_observations,n_species,n_weighted_individuals,effort_adjusted_richness,normalized_richness_01,observation_density_01,shannon_entropy,simpson_diversity,pielou_evenness,hill_q0,hill_q1,hill_q2
VN_10.03_103.94,10.03,103.94,2024,2,2,2.0,1.8204784532536746,0.0676597853346703,0.15724243557986567,0.6931471805599453,0.5,1.0,2.0,2.0,2.0
VN_10.03_104.03,10.03,104.03,2010,1,1,1.0,1.4426950408889634,0.05361911128114783,0.0992089311313804,-0.0,0.0,0.0,1.0,1.0,1.0
VN_10.03_104.03,10.03,104.03,2011,2,2,2.0,1.8204784532536746,0.0676597853346703,0.15724243557986567,0.6931471805599453,0.5,1.0,2.0,2.0,2.0
VN_10.03_104.03,10.03,104.03,2012,1,1,1.0,1.4426950408889634,0.05361911128114783,0.0992089311313804,-0.0,0.0,0.0,1.0,1.0,1.0
VN_10.03_104.03,10.03,104.03,2014,35,10,42.0,2.7905531327562363,0.10371351860266657,0.5129027334224922,2.1169846726406845,0.8620408163265306,0.9193947616016112,10.0,8.30605421702816,7.248520710059172
VN_10.03_104.03,10.03,104.03,2018,4,2,4.0,1.2426698691192237,0.04618498858703798,0.23035600445769763,0.5623351446188083,0.375,0.8112781244591328,2.0,1.7547653506033232,1.6
VN_10.03_104.03,10.03,104.03,2019,1,1,1.0,1.4426950408889634,0.05361911128114783,0.0992089311313804,-0.0,0.0,0.0,1.0,1.0,1.0
VN_10.03_104.03,10.03,104.03,2021,2,2,2.0,1.8204784532536746,0.0676597853346703,0.15724243557986567,0.6931471805599453,0.5,1.0,2.0,2.0,2.0
VN_10.03_104.03,10.03,104.03,2022,38,35,199.0,9.55354471432891,0.35506642959788814,0.52435910473275,3.514372180065222,0.9681440443213296,0.9884748607687581,35.0,33.59482979785114,31.391304347826093
VN_10.03_104.03,10.03,104.03,2023,40,30,83.0,8.07847524193173,0.30024409227346416,0.5315170078589446,3.2666743572975774,0.95375,0.960448333551628,30.0,26.22398256881081,21.621621621621614
VN_10.03_104.03,10.03,104.03,2024,79,56,217.0,12.779475039445447,0.47496114898437125,0.6271917289832193,3.8783296620110237,0.9748437750360519,0.9634759792386549,56.0,48.34339778021114,39.7515923566879
VN_10.03_105.11,10.03,105.11,2022,23,21,81.0,6.607817589326622,0.24558572436023168,0.45486922897400694,3.0149468801795942,0.9489603024574669,0.9902856496712357,21.0,20.38800790446581,19.5925925925926
VN_10.03_105.11,10.03,105.11,2023,8,8,58.0,3.6409569065073493,0.1353195706693406,0.31448487115973134,2.0794415416798357,0.875,1.0,8.0,7.999999999999998,8.0
VN_10.03_105.11,10.03,105.11,2024,15,15,41.0,5.410106403333613,0.20107166730430437,0.3968357245255216,2.70805020110221,0.9333333333333333,1.0,15.0,15.0,15.0
VN_10.03_105.19,10.03,105.19,2011,2,2,2.0,1.8204784532536746,0.0676597853346703,0.15724243557986567,0.6931471805599453,0.5,1.0,2.0,2.0,2.0
VN_10.03_105.19,10.03,105.19,2022,1,1,1.0,1.4426950408889634,0.05361911128114783,0.0992089311313804,-0.0,0.0,0.0,1.0,1.0,1.0
VN_10.03_105.28,10.03,105.28,2024,1,1,4.0,1.4426950408889634,0.05361911128114783,0.0992089311313804,-0.0,0.0,0.0,1.0,1.0,1.0
VN_10.03_105.64,10.03,105.64,2016,3,3,3.0,2.1640425613334453,0.08042866692172175,0.1984178622627608,1.0986122886681096,0.6666666666666667,0.9999999999999998,3.0,2.9999999999999996,3.0
VN_10.03_105.64,10.03,105.64,2023,1,1,1.0,1.4426950408889634,0.05361911128114783,0.0992089311313804,-0.0,0.0,0.0,1.0,1.0,1.0
VN_10.03_105.64,10.03,105.64,2024,2,2,2.0,1.8204784532536746,0.0676597853346703,0.15724243557986567,0.6931471805599453,0.5,1.0,2.0,2.0,2.0
VN_10.03_105.73,10.03,105.73,2009,9,5,15.0,2.1714724095162588,0.08070480418235226,0.3295649355890781,1.5810937501718234,0.7901234567901234,0.9823887817956212,5.0,4.860268825015377,4.764705882352941
VN_10.03_105.73,10.03,105.73,2010,5,5,5.0,2.7905531327562363,0.10371351860266657,0.2564513667112461,1.6094379124341005,0.7999999999999999,1.0000000000000002,5.0,5.000000000000001,4.999999999999999
VN_10.03_105.73,10.03,105.73,2011,2,2,2.0,1.8204784532536746,0.0676597853346703,0.15724243557986567,0.6931471805599453,0.5,1.0,2.0,2.0,2.0
VN_10.03_105.73,10.03,105.73,2012,1,1,1.0,1.4426950408889634,0.05361911128114783,0.0992089311313804,-0.0,0.0,0.0,1.0,1.0,1.0
VN_10.03_105.73,10.03,105.73,2013,5,5,6.0,2.7905531327562363,0.10371351860266657,0.2564513667112461,1.6094379124341005,0.7999999999999999,1.0000000000000002,5.0,5.000000000000001,4.999999999999999
VN_10.03_105.73,10.03,105.73,2014,100,9,109.0,1.950111588019785,0.07247772210006262,0.6605540444504892,1.3248443912801218,0.6194,0.6029626670598606,9.0,3.7615999716994284,2.6274303730951125
VN_10.03_105.73,10.03,105.73,2015,21,15,56.0,4.852731797230088,0.18035631847248496,0.44241544433848795,2.6484383345463107,0.9251700680272109,0.9779871634094388,15.0,14.13195202263973,13.363636363636369
VN_10.03_105.73,10.03,105.73,2016,16,13,77.0,4.588429610241895,0.17053328035679396,0.40551281951968143,2.512658529529802,0.9140625,0.979613309799034,13.0,12.337686603263528,11.636363636363637
VN_10.03_105.73,10.03,105.73,2017,49,22,57.0,5.623688809977292,0.20900965731948196,0.5599209400467757,2.1064509366657633,0.7072053311120365,0.6814694293108701,22.0,8.219019639319036,3.415362731152204
VN_10.03_105.73,10.03,105.73,2018,3,3,3.0,2.1640425613334453,0.08042866692172175,0.1984178622627608,1.0986122886681096,0.6666666666666667,0.9999999999999998,3.0,2.9999999999999996,3.0
VN_10.03_105.73,10.03,105.73,2019,58,48,106.0,11.77181096687186,0.4375103707464108,0.5836107291546326,3.788503594751879,0.974435196195006,0.9786377881378426,48.0,44.19022429174109,39.116279069767444
VN_10.03_105.73,10.03,105.73,2020,13,9,15.0,3.4103086352095606,0.12674731182390916,0.37772361225513507,2.1383972463477243,0.8757396449704142,0.9732265278682556,9.0,8.485826035113762,8.047619047619047
VN_10.03_105.73,10.03,105.73,2021,1,1,1.0,1.4426950408889634,0.05361911128114783,0.0992089311313804,-0.0,0.0,0.0,1.0,1.0,1.0
VN_10.03_105.73,10.03,105.73,2022,29,19,55.0,5.586267972108915,0.20761887686135966,0.48680737116894374,2.784943972308736,0.925089179548157,0.9458317839200536,19.0,16.19891026379409,13.34920634920635
VN_10.03_105.73,10.03,105.73,2023,98,59,124.0,12.839708630945045,0.4771997867795702,0.6576913843668388,3.896883013182135,0.9750104123281966,0.955695212316544,59.0,49.248702061132114,40.01666666666667
VN_10.03_105.73,10.03,105.73,2024,192,79,837.0,15.011333968804104,0.5579102746868942,0.7532395473282936,3.938427532898357,0.9716254340277778,0.9013558842851718,79.0,51.33781077843563,35.24282982791587
